ต้องเช็ค,รุ่น,หมวด,ชื่อรายการ,รหัส (คิดราคา),รหัสอื่นตามสี,ราคา/หน่วย,หน่วย,จำนวน,ยอดเงิน,ขนาดที่ใช้คิด,รหัส (ใบตัด),จำนวนในใบตัด,หน่วยในใบตัด,ตรงกันไหม,ไฟล์ตัดประกอบ
✓ ผ่าน,บานยก,อลูมิเนียม,เฟรมบน (HEAD),B28009,,1000,เส้น,1,192.97,100×150 1 บาน · เดี่ยว,B28009,1,ชิ้น,ตรง,JR_บานยก_ฟูจิ
✓ ผ่าน,บานยก,อลูมิเนียม,ตบปิดเฟรมบน (COVER HEAD),B28010,,395,เส้น,1,72.69,100×150 1 บาน · เดี่ยว,B28010,1,ชิ้น,ตรง,JR_บานยก_ฟูจิ
✓ ผ่าน,บานยก,อลูมิเนียม,กรอบบาน แนวนอน (SASH↔) + กรอบบาน แนวตั้ง (SASH↕),B28011,,600,เส้น,8,766.35,100×150 1 บาน · เดี่ยว,B28011,8,ชิ้น,ตรง,JR_บานยก_ฟูจิ
✓ ผ่าน,บานยก,อลูมิเนียม,คิ้วยึดเสาเกี่ยว (ADAPTOR),B28012,,195,เส้น,2,68.76,100×150 1 บาน · เดี่ยว,B28012,2,ชิ้น,ตรง,JR_บานยก_ฟูจิ
✓ ผ่าน,บานยก,อลูมิเนียม,เสาเกี่ยว (INTERLOCK),B28013,,195,เส้น,2,70.35,100×150 1 บาน · เดี่ยว,B28013,2,ชิ้น,ตรง,JR_บานยก_ฟูจิ
✓ ผ่าน,บานยก,อลูมิเนียม,เฟรมล่าง (SILL),B28014,,840,เส้น,1,162.09,100×150 1 บาน · เดี่ยว,B28014,1,ชิ้น,ตรง,JR_บานยก_ฟูจิ
✓ ผ่าน,บานยก,อลูมิเนียม,เสาเสริมเฟรมข้าง (JAMB ADAPTOR),B28015,,60,เส้น,2,34.88,100×150 1 บาน · เดี่ยว,B28015,2,ชิ้น,ตรง,JR_บานยก_ฟูจิ
✓ ผ่าน,บานยก,อลูมิเนียม,เฟรมข้าง (NARROW FRAME),B10004,,1175,เส้น,2,716.02,100×150 1 บาน · เดี่ยว,B10004,2,ชิ้น,ตรง,JR_บานยก_ฟูจิ
🔵 เช็คว่าคิดเกินไหม,บานยก,อลูมิเนียม,กล่องร่องมีสกรู,,,995,เส้น,1,202.11,100×150 1 บาน · เดี่ยว,,,,ใบตัดไม่มีรายการนี้,JR_บานยก_ฟูจิ
⚪ ดูเฉย ๆ,บานยก,กระจก,กระจก เขียว 6มม.,,,264,ตร.ม.,1.5,396,100×150 1 บาน · เดี่ยว,,,,ใบตัดไม่ลงประเภทนี้,JR_บานยก_ฟูจิ
⚪ สั่งตามงาน (ไม่ลงสโตร์),บานยก,อุปกรณ์/สิ้นเปลือง,กล่องอุปกรณ์,,,1350,ชุด,1,1350,100×150 1 บาน · เดี่ยว,,,,สั่งตามงาน,JR_บานยก_ฟูจิ
⚪ สั่งตามงาน (ไม่ลงสโตร์),บานยก,อุปกรณ์/สิ้นเปลือง,มือจับ,,,60,ตัว,1,60,100×150 1 บาน · เดี่ยว,—,1,PCS,สั่งตามงาน,JR_บานยก_ฟูจิ
⚪ สั่งตามงาน (ไม่ลงสโตร์),บานยก,อุปกรณ์/สิ้นเปลือง,ล๊อคกลาง,,,70,ตัว,1,70,100×150 1 บาน · เดี่ยว,,,,สั่งตามงาน,JR_บานยก_ฟูจิ
⚪ สั่งตามงาน (ไม่ลงสโตร์),บานยก,อุปกรณ์/สิ้นเปลือง,คอยสปริง,,,160,ตัว,2,320,100×150 1 บาน · เดี่ยว,,,,สั่งตามงาน,JR_บานยก_ฟูจิ
⚪ สั่งตามงาน (ไม่ลงสโตร์),บานยก,อุปกรณ์/สิ้นเปลือง,ฝาปิดฝุ่น,,,10,ตัว,2,20,100×150 1 บาน · เดี่ยว,,,,สั่งตามงาน,JR_บานยก_ฟูจิ
⚪ สั่งตามงาน (ไม่ลงสโตร์),บานยก,อุปกรณ์/สิ้นเปลือง,ตลับตะขอเกี่ยว,,,130,ตัว,4,520,100×150 1 บาน · เดี่ยว,,,,สั่งตามงาน,JR_บานยก_ฟูจิ
⚪ สั่งตามงาน (ไม่ลงสโตร์),บานยก,อุปกรณ์/สิ้นเปลือง,กิ๊ปล็อค,,,20,ตัว,4,80,100×150 1 บาน · เดี่ยว,,,,สั่งตามงาน,JR_บานยก_ฟูจิ
⚪ สั่งตามงาน (ไม่ลงสโตร์),บานยก,อุปกรณ์/สิ้นเปลือง,กล่องใส่สปริง,,,30,ตัว,2,60,100×150 1 บาน · เดี่ยว,,,,สั่งตามงาน,JR_บานยก_ฟูจิ
⚪ ดูเฉย ๆ,บานยก,อุปกรณ์/สิ้นเปลือง,ซิลิโคน,JR00504,,90,หลอด,1,90,100×150 1 บาน · เดี่ยว,,,,ใบตัดไม่ลงประเภทนี้,JR_บานยก_ฟูจิ
⚪ สั่งตามงาน (ไม่ลงสโตร์),บานยก,อุปกรณ์/สิ้นเปลือง,กล่องอุปกรณ์ (ถ่วง),,,2520,ชุด,1,2520,100×150 1 บาน · ถ่วง,,,,สั่งตามงาน,JR_บานยก_ฟูจิ
